Column1;City;State;Median Age;Male Population;Female Population;Total Population;Foreign-born;Average Household Size;State Code;CO;NO2;O3;SO2;PM2.5;PM10
0;Newark;New Jersey;346;1380400;1438730;281913;862530;273;NJ;39053;5621;2396;1025;616;881
1;Peoria;Illinois;331;562290;624320;118661;75170;24;IL;27371;1371;4041;19;29;34
2;O'Fallon;Missouri;360;417620;432700;85032;32690;277;MO;26035;763;5722;24;212;263
3;Hampton;Virginia;355;662140;702400;136454;62040;248;VA;35381;2536;7653;182;656;812
4;Lakewood;Colorado;377;760130;765760;152589;141690;229;CO;3438;281;8011;301;796;1007
5;Mesa;Arizona;369;2349980;2368350;471833;574920;268;AZ;23699;531;15307;322;1123;1955
6;Bryan;Texas;294;417610;403450;82106;120140;255;TX;2203;296;9728;67;334;575
7;Garland;Texas;345;1164060;1204300;236836;629750;312;TX;60082;4455;1001;113;616;836
8;Springfield;Illinois;388;556390;621700;117809;42640;222;IL;22697;446;5436;34;181;208
9;Flint;Michigan;353;489840;493130;98297;21380;238;MI;25034;514;3254;25;213;224
10;Tacoma;Washington;377;1009140;1070360;207950;318630;248;WA;25368;36;6151;79;299;391
11;Waterbury;Connecticut;362;522350;565720;108807;199670;271;CT;25034;831;5722;81;25;292
12;Eagan;Minnesota;368;315870;347010;66288;86420;249;MN;3438;305;4077;337;589;735
13;Fort Smith;Arkansas;349;433460;448490;88195;131770;244;AR;23365;518;6867;154;351;479
14;Carmichael;California;410;292810;339340;63215;73780;239;CA;32377;309;2682;119;133;314
15;Daly City;California;397;538170;527570;106574;566400;326;CA;23031;139;8798;101;532;1263
17;Murrieta;California;353;493630;604530;109816;198750;33;CA;35381;651;25749;1133;4267;4833
18;Brentwood;New York;342;313950;323970;63792;270580;498;NY;26035;1054;12016;59;1089;1486
19;Quincy;Massachusetts;410;441290;495000;93629;329350;239;MA;32377;2639;4041;343;447;763
20;Boulder;Colorado;290;563420;510000;107342;129930;224;CO;17357;98;8941;57;191;225
22;Evanston;Illinois;368;341460;413770;75523;150030;229;IL;34046;3804;329;95;401;587
23;Dothan;Alabama;389;321720;353640;67536;16990;259;AL;2203;111;844;57;401;488
24;Antioch;California;340;547330;558090;110542;249420;331;CA;22697;467;8726;55;199;225
25;Madison;Wisconsin;307;1225960;1263600;248956;300900;223;WI;26703;1388;2432;7;18;234
26;Victorville;California;306;609890;612470;122236;219590;347;CA;20027;47;7868;14;311;55
27;Billings;Montana;363;527050;575650;110270;32060;24;MT;20862;488;658;39;21;454
28;Sandy Springs;Georgia;354;485700;567770;105347;198370;24;GA;23699;634;6938;465;359;425
29;Iowa City;Iowa;255;370890;371380;74227;92020;236;IA;27037;968;3827;7;279;341
30;Largo;Florida;451;381660;428410;81007;104890;228;FL;20361;86;9084;29;208;499
31;Shreveport;Louisiana;352;931380;1038560;196994;56580;253;LA;23699;574;9441;124;573;859
32;Kalamazoo;Michigan;264;371750;388650;76040;34820;236;MI;21362;343;5364;212;7;93
33;Round Rock;Texas;349;566460;591930;115839;182370;313;TX;2470;703;6223;3;372;625
34;Richmond;California;353;526150;571000;109715;422150;287;CA;29039;951;4578;49;583;609
35;Columbia;Missouri;268;565440;625540;119098;107290;237;MO;24033;266;608;95;439;463
36;Sandy;Utah;346;469230;466890;93612;66910;322;UT;25368;934;12732;423;163;2241
37;Hoover;Alabama;385;380400;467990;84839;82290;258;AL;22697;236;8726;113;424;459
38;Fullerton;California;345;695490;713000;140849;434040;2,97E+15;CA;51403;5209;19455;2098;3815;4568
40;Rapid City;South Dakota;395;361220;374460;73568;23750;231;SD;17858;182;6151;32;134;308
41;Newport Beach;California;468;431610;439700;87131;153180;24;CA;31376;2399;13876;1347;1479;1929
42;Columbus;Georgia;337;987850;1017940;200579;103760;262;GA;26035;882;397;11;191;20
43;Palm Coast;Florida;488;394890;426320;82121;90840;276;FL;21029;114;8583;41;241;322
44;Albany;Georgia;333;316950;394140;71109;8610;238;GA;28372;1491;447;124;404;45
45;Jurupa Valley;California;338;494300;508840;100314;253380;387;CA;46063;1508;3233;1931;612;6782
46;Providence;Rhode Island;299;890900;901140;179204;535320;2,72E+15;RI;26703;1268;5508;159;33;539
47;Decatur;Illinois;404;346460;382100;72856;12240;223;IL;22697;39;8154;224;23;258
48;Scranton;Pennsylvania;385;379750;391370;77112;80690;239;PA;27037;1405;5722;20;253;294
49;Anaheim;California;336;1796030;1711350;350738;1371330;345;CA;51403;5209;19455;2098;3815;4568
50;Rochester;New York;314;1001350;1096730;209808;177350;236;NY;34714;2296;2861;69;888;1031
51;Buffalo;New York;331;1245370;1335290;258066;246300;227;NY;36717;2571;1824;197;545;639
52;Richmond;Virginia;336;1047930;1154960;220289;157410;229;VA;29039;951;4578;49;583;609
53;Santa Ana;California;308;1675030;1679200;335423;1529990;458;CA;31376;2399;13876;1347;1479;1929
54;Sunnyvale;California;357;794800;722800;151760;714410;274;CA;22697;279;10157;127;767;1228
55;Augusta-Richmond County consolidated government;Georgia;337;946620;1019170;196579;79150;267;GA;;;;;;
56;Milwaukee;Wisconsin;316;2863150;3138390;600154;583210;251;WI;28706;1971;3898;41;21;294
57;Conroe;Texas;315;349070;336850;68592;138390;265;TX;25034;583;5722;55;482;676
58;Savannah;Georgia;303;693890;762950;145684;103550;2,57E+16;GA;22364;24;6008;36;325;354
59;German;Maryland;349;411150;430070;84122;278770;295;MD;19693;67;8583;632;1655;4886
60;Costa Mesa;California;348;590970;540890;113186;266450;259;CA;31376;2399;13876;1347;1479;1929
61;New Haven;Connecticut;299;637650;665450;130310;258710;248;CT;25034;763;5937;78;231;289
62;Westland;Michigan;399;377420;442530;81995;64290;241;MI;26369;51;3934;4;318;331
63;Waldorf;Maryland;336;356400;398720;75512;59540;269;MD;21696;548;2861;61;113;154
64;Cedar Rapids;Iowa;362;631090;672960;130405;54040;232;IA;24033;471;5579;1;309;346
65;Troy;Michigan;433;423710;409050;83276;210040;259;MI;28372;1491;447;124;404;45
66;Kirkland;Washington;408;421590;451080;87267;185700;23;WA;29373;1285;4113;31;428;61
67;Santa Barbara;California;378;450680;467840;91852;194410;251;CA;20695;36;8798;8;375;408
68;Lake Forest;California;403;415150;409820;82497;207840;276;CA;26703;1628;4792;62;257;37
69;Chino;California;365;509890;346100;85599;186660;362;CA;4673;1628;3233;1884;7091;7783
70;Tucson;Arizona;336;2648930;2667810;531674;822200;245;AZ;20361;115;11873;69;627;1614
71;Boise;Idaho;349;1100990;1081810;218280;134090;261;ID;22697;249;9298;43;743;2192
72;Joliet;Illinois;331;708630;791620;150025;224090;313;IL;25702;102;5293;47;247;345
73;Metairie;Louisiana;416;695150;769430;146458;198710;239;LA;28372;1594;13161;811;1019;1179
74;Moreno Valley;California;307;985840;1055970;204181;544420;39;CA;4673;1088;34332;1502;6989;7593
75;Elizabeth;New Jersey;342;658960;631160;129012;634130;318;NJ;32377;3496;4005;614;433;615
76;Wyoming;Michigan;328;359670;393100;75277;86120;265;MI;21362;268;6151;53;5;62
77;Norman;Oklahoma;309;594830;608140;120297;87050;247;OK;47398;4113;3648;116;644;771
78;Frisco;Texas;372;739890;803990;154388;309130;305;TX;28038;1217;6294;45;39;579
79;Waterloo;Iowa;372;344880;339690;68457;50820;242;IA;2470;583;6652;37;444;475
80;Oakland;California;357;2038270;2154510;419278;1138960;256;CA;2470;501;8869;209;507;1053
81;Jonesboro;Arkansas;326;356660;382400;73906;32220;244;AR;24033;411;5364;29;369;399
82;Springfield;Missouri;341;810570;857410;166798;77650;212;MO;22697;446;5436;34;181;208
83;Mission;Texas;329;405300;427770;83307;226080;351;TX;22697;134;8869;52;793;962
84;Midland;Texas;321;665950;663550;132950;170610;278;TX;2203;60;7653;25;332;598
85;Lansing;Michigan;314;543330;597770;114110;83710;239;MI;20695;30;3541;28;57;64
86;Springdale;Arkansas;318;368400;436140;80454;199690;304;AR;26703;908;4792;107;429;832
87;Bay;Texas;329;379770;375080;75485;131920;259;TX;22697;212;5508;3;5;52
88;Apple Valley;California;343;328730;393120;72185;58010;303;CA;25034;694;6437;95;375;481
89;Brockton;Massachusetts;352;462730;490410;95314;273130;288;MA;26369;1131;5436;155;317;608
90;Poinciana;Florida;342;381420;358010;73943;143490;393;FL;21362;313;9441;61;304;448
91;Davis;California;263;334930;341630;67656;139970;269;CA;22364;186;13304;3;1024;121
92;Springfield;Massachusetts;318;747440;795920;154336;162260;281;MA;22697;446;5436;34;181;208
94;Saint Louis;Missouri;350;1530260;1626590;315685;218020;216;MO;31376;2005;3684;53;337;476
95;Lehigh Acres;Florida;343;578560;616240;119480;318800;355;FL;22697;229;9441;31;518;773
96;Henderson;Nevada;425;1394120;1462460;285658;356660;255;NV;20194;711;12159;185;755;1941
97;Frederick;Maryland;361;331460;363360;69482;142110;248;MD;29707;1148;2539;6;632;694
98;Vacaville;California;358;500910;467030;96794;105770;29;CA;22697;176;12159;48;955;1233
101;Laredo;Texas;288;1243050;1314840;255789;684270;366;TX;58079;2262;5007;131;1115;1385
103;El Cajon;California;327;544500;492380;103688;318650;314;CA;38052;1028;25749;1073;5052;5892
104;Lorain;Ohio;356;308440;328070;63651;15310;252;OH;27704;120;397;465;454;48
105;Johns Creek;Georgia;390;402820;430570;83339;290000;319;GA;23031;189;6652;79;278;327
106;Cicero;Illinois;285;431530;407140;83867;338010;389;IL;40722;5072;1484;221;551;772
107;Rio Rancho;New Mexico;383;472510;469040;94155;52000;286;NM;16356;42;7796;41;34;1379
108;Atlanta;Georgia;338;2239600;2399150;463875;320160;215;GA;25034;763;7796;483;513;578
110;Concord;California;396;623100;663580;128668;374280;2,72E+15;CA;2470;737;5078;119;279;342
111;Marysville;Washington;332;334360;333370;66773;77210;279;WA;32044;1542;3254;507;639;719
112;South San Francisco;California;394;341770;330940;67271;275280;333;CA;23031;139;8798;101;532;1263
113;Portsmouth;Virginia;336;459000;503010;96201;18150;254;VA;23031;1422;2092;554;242;289
114;Norwalk;California;350;531250;540200;107145;393960;388;CA;25368;908;6008;11;274;337
115;Alhambra;California;410;421840;433880;85572;444410;289;CA;34714;2228;17023;894;2468;2908
116;Carson;California;404;437900;495060;93296;338600;37;CA;32044;1679;1502;417;1664;2105
117;Everett;Washington;370;562120;518000;108012;194990;236;WA;26703;60;5651;212;387;505
118;Citrus Heights;California;378;419820;450710;87053;94660;249;CA;28372;506;16737;20;2373;276
120;North Little Rock;Arkansas;336;316710;348350;66506;27870;262;AR;33379;2074;4935;10;522;687
121;Atascocita;Texas;328;374240;408160;78240;86570;303;TX;3438;2845;9441;307;909;1178
122;Erie;Pennsylvania;353;486180;508520;99470;62750;231;PA;26369;651;4792;259;493;516
123;Fresno;California;300;2561300;2639420;520072;1034530;312;CA;28372;686;15163;265;2029;251
124;Jacksonville;Florida;357;4192030;4488280;868031;856500;262;FL;20695;165;7939;19;141;173
