,City,State,Median Age,Male Population,Female Population,Total Population,Number of Veterans,Foreign-born,Average Household Size,State Code,Race,Count
0,Newark,New Jersey,34.6,138040.0,143873.0,281913,5829.0,86253.0,2.73,NJ,White,76402
1,Peoria,Illinois,33.1,56229.0,62432.0,118661,6634.0,7517.0,2.4,IL,American Indian and Alaska Native,1343
2,O'Fallon,Missouri,36.0,41762.0,43270.0,85032,5783.0,3269.0,2.77,MO,Hispanic or Latino,2583
3,Hampton,Virginia,35.5,66214.0,70240.0,136454,19638.0,6204.0,2.48,VA,Black or African-American,70303
4,Lakewood,Colorado,37.7,76013.0,76576.0,152589,9988.0,14169.0,2.29,CO,Hispanic or Latino,33630
5,Mesa,Arizona,36.9,234998.0,236835.0,471833,31808.0,57492.0,2.68,AZ,American Indian and Alaska Native,16044
6,Bryan,Texas,29.4,41761.0,40345.0,82106,3602.0,12014.0,2.55,TX,Black or African-American,11914
7,Garland,Texas,34.5,116406.0,120430.0,236836,10407.0,62975.0,3.12,TX,Asian,27217
8,Springfield,Illinois,38.8,55639.0,62170.0,117809,7525.0,4264.0,2.22,IL,Asian,3871
9,Flint,Michigan,35.3,48984.0,49313.0,98297,3757.0,2138.0,2.38,MI,Asian,657
10,Tacoma,Washington,37.7,100914.0,107036.0,207950,19040.0,31863.0,2.48,WA,Black or African-American,30914
11,Waterbury,Connecticut,36.2,52235.0,56572.0,108807,3493.0,19967.0,2.71,CT,White,69075
12,Eagan,Minnesota,36.8,31587.0,34701.0,66288,2699.0,8642.0,2.49,MN,Hispanic or Latino,4328
13,Fort Smith,Arkansas,34.9,43346.0,44849.0,88195,3408.0,13177.0,2.44,AR,Black or African-American,9851
14,Carmichael,California,41.0,29281.0,33934.0,63215,4225.0,7378.0,2.39,CA,White,55862
15,Daly City,California,39.7,53817.0,52757.0,106574,3782.0,56640.0,3.26,CA,White,25522
16,Bryan,Texas,29.4,41761.0,40345.0,82106,3602.0,12014.0,2.55,TX,American Indian and Alaska Native,3557
17,Murrieta,California,35.3,49363.0,60453.0,109816,7242.0,19875.0,3.3,CA,Hispanic or Latino,32944
18,Brentwood,New York,34.2,31395.0,32397.0,63792,1492.0,27058.0,4.98,NY,American Indian and Alaska Native,4242
19,Quincy,Massachusetts,41.0,44129.0,49500.0,93629,4147.0,32935.0,2.39,MA,American Indian and Alaska Native,351
20,Boulder,Colorado,29.0,56342.0,51000.0,107342,4061.0,12993.0,2.24,CO,Black or African-American,1615
21,Waterbury,Connecticut,36.2,52235.0,56572.0,108807,3493.0,19967.0,2.71,CT,American Indian and Alaska Native,492
22,Evanston,Illinois,36.8,34146.0,41377.0,75523,2058.0,15003.0,2.29,IL,White,54496
23,Dothan,Alabama,38.9,32172.0,35364.0,67536,6334.0,1699.0,2.59,AL,Asian,1175
24,Antioch,California,34.0,54733.0,55809.0,110542,5681.0,24942.0,3.31,CA,American Indian and Alaska Native,3462
25,Madison,Wisconsin,30.7,122596.0,126360.0,248956,9707.0,30090.0,2.23,WI,American Indian and Alaska Native,2296
26,Victorville,California,30.6,60989.0,61247.0,122236,7484.0,21959.0,3.47,CA,Black or African-American,26747
27,Billings,Montana,36.3,52705.0,57565.0,110270,9121.0,3206.0,2.4,MT,White,102522
28,Sandy Springs,Georgia,35.4,48570.0,56777.0,105347,3015.0,19837.0,2.4,GA,American Indian and Alaska Native,1574
29,Iowa City,Iowa,25.5,37089.0,37138.0,74227,2047.0,9202.0,2.36,IA,American Indian and Alaska Native,610
30,Largo,Florida,45.1,38166.0,42841.0,81007,8310.0,10489.0,2.28,FL,Asian,3249
31,Shreveport,Louisiana,35.2,93138.0,103856.0,196994,14287.0,5658.0,2.53,LA,Asian,4033
32,Kalamazoo,Michigan,26.4,37175.0,38865.0,76040,3048.0,3482.0,2.36,MI,Asian,2429
33,Round Rock,Texas,34.9,56646.0,59193.0,115839,6804.0,18237.0,3.13,TX,Hispanic or Latino,37151
34,Richmond,California,35.3,52615.0,57100.0,109715,3611.0,42215.0,2.87,CA,Asian,20082
35,Columbia,Missouri,26.8,56544.0,62554.0,119098,4548.0,10729.0,2.37,MO,Asian,8673
36,Sandy,Utah,34.6,46923.0,46689.0,93612,3451.0,6691.0,3.22,UT,Hispanic or Latino,6832
37,Hoover,Alabama,38.5,38040.0,46799.0,84839,4819.0,8229.0,2.58,AL,Black or African-American,18191
38,Fullerton,California,34.5,69549.0,71300.0,140849,5394.0,43404.0,2.969999999999999,CA,White,92216
39,Dothan,Alabama,38.9,32172.0,35364.0,67536,6334.0,1699.0,2.59,AL,Black or African-American,23243
40,Rapid City,South Dakota,39.5,36122.0,37446.0,73568,7429.0,2375.0,2.31,SD,American Indian and Alaska Native,9159
41,Newport Beach,California,46.8,43161.0,43970.0,87131,4847.0,15318.0,2.4,CA,American Indian and Alaska Native,423
42,Columbus,Georgia,33.7,98785.0,101794.0,200579,21747.0,10376.0,2.62,GA,White,97436
