,City,CO,NO2,O3,SO2,PM2.5,PM10
0,Newark,390.53,56.21,23.96,10.25,6.16,8.81
1,Peoria,273.71,13.71,40.41,0.19,2.9,3.4
2,O'Fallon,260.35,7.63,57.22,0.24,2.12,2.63
3,Hampton,353.81,25.36,76.53,1.82,6.56,8.12
4,Lakewood,250.34,11.31,100.14,2.15,4.73,5.9
5,Mesa,236.99,5.31,153.07,3.22,11.23,19.55
6,Bryan,213.62,1.61,108.72,0.61,3.3,5.8
7,Garland,600.82,44.55,10.01,1.13,6.16,8.36
8,Springfield,226.97,4.46,54.36,0.34,1.81,2.08
9,Flint,267.03,5.57,39.7,0.41,3.22,3.32
10,Tacoma,253.68,3.6,61.51,0.79,2.99,3.91
11,Waterbury,243.66,8.14,60.08,0.87,2.43,2.81
12,Eagan,343.8,30.5,40.77,3.37,5.89,7.35
13,Fort Smith,300.41,15.59,40.41,0.5,3.43,5.5
14,Carmichael,340.46,3.6,27.54,1.15,1.38,3.08
15,Daly City,230.31,1.39,87.98,1.01,5.32,12.63
16,Murrieta,353.81,5.14,237.47,8.7,38.39,43.48
17,Brentwood,260.35,10.54,120.16,5.9,10.89,14.86
18,Quincy,323.77,26.39,40.41,3.43,4.47,7.63
19,Boulder,173.57,0.98,89.41,0.57,1.91,2.25
20,Evanston,267.03,15.42,62.23,1.03,2.69,3.75
21,Dothan,220.3,1.11,84.4,0.57,4.01,4.88
22,Antioch,220.3,2.83,94.41,0.6,1.92,2.13
23,Madison,267.03,13.88,24.32,0.07,1.8,2.34
24,Victorville,200.27,0.47,78.68,0.14,3.11,5.5
25,Billings,193.6,2.23,74.39,0.32,1.93,4.25
26,Sandy Springs,233.65,5.27,75.1,4.29,3.42,3.93
27,Iowa City,270.37,9.68,38.27,0.07,2.79,3.41
28,Largo,203.61,0.86,90.84,0.29,2.08,4.99
29,Shreveport,236.99,5.74,94.41,1.24,5.73,8.59
30,Kalamazoo,211.95,2.96,51.5,1.97,0.61,0.77
31,Round Rock,247.0,7.03,62.23,0.3,3.72,6.25
32,Richmond,273.71,7.11,58.65,0.57,5.22,5.43
33,Columbia,240.33,2.66,60.8,0.95,4.39,4.63
34,Sandy,253.68,9.34,127.32,4.23,16.3,22.41
35,Hoover,226.97,2.36,87.26,1.13,4.24,4.59
36,Fullerton,514.03,52.09,194.55,20.98,38.15,45.68
37,Rapid City,178.58,1.82,61.51,0.32,1.34,3.08
38,Newport Beach,313.76,23.99,138.76,13.47,14.79,19.29
39,Columbus,263.69,9.08,44.7,1.58,2.15,2.23
40,Palm Coast,210.29,0.99,88.69,0.37,2.45,3.07
41,Albany,283.72,14.91,44.7,1.24,4.04,4.5
42,Jurupa Valley,520.71,13.02,363.35,19.07,79.52,87.14
43,Providence,257.02,10.8,59.37,1.25,3.11,5.05
44,Decatur,220.3,2.06,92.98,2.33,2.15,2.39
45,Scranton,260.35,12.0,71.53,2.21,2.6,3.0
46,Anaheim,600.82,52.09,300.41,32.42,69.68,79.93
47,Rochester,347.14,22.96,28.61,0.69,8.88,10.31
48,Buffalo,327.11,21.25,30.04,2.3,4.98,5.6
49,Santa Ana,327.11,23.99,164.51,16.69,20.25,25.39
50,Sunnyvale,226.97,2.79,101.57,1.27,7.67,12.28
51,Milwaukee,287.06,19.71,38.98,0.41,2.1,2.94
52,Conroe,250.34,5.83,57.22,0.55,4.82,6.76
53,Savannah,220.3,1.93,67.95,0.37,3.35,3.59
54,German,196.93,0.67,85.83,6.32,16.55,48.86
55,Costa Mesa,327.11,23.99,164.51,16.69,20.25,25.39
56,New Haven,247.0,7.54,61.51,0.85,2.41,3.11
57,Westland,263.69,5.1,39.34,0.4,3.18,3.31
58,Waldorf,220.3,6.77,32.19,0.68,1.15,1.51
59,Cedar Rapids,223.64,2.1,71.53,0.14,2.41,2.65
60,Troy,283.72,14.91,44.7,1.24,4.04,4.5
