,City,State,Median Age,Male Population,Female Population,Total Population,Foreign-born,Average Household Size,State Code,CO,NO2,O3,SO2,PM2.5,PM10
0,Newark,New Jersey,34.6,138040.0,143873.0,281913,86253.0,2.73,NJ,390.53,56.21,23.96,10.25,6.16,8.81
1,Peoria,Illinois,33.1,56229.0,62432.0,118661,7517.0,2.4,IL,273.71,13.71,40.41,0.19,2.9,3.4
2,O'Fallon,Missouri,36.0,41762.0,43270.0,85032,3269.0,2.77,MO,260.35,7.63,57.22,0.24,2.12,2.63
3,Hampton,Virginia,35.5,66214.0,70240.0,136454,6204.0,2.48,VA,353.81,25.36,76.53,1.82,6.56,8.12
4,Lakewood,Colorado,37.7,76013.0,76576.0,152589,14169.0,2.29,CO,343.8,28.1,80.11,3.01,7.96,10.07
5,Mesa,Arizona,36.9,234998.0,236835.0,471833,57492.0,2.68,AZ,236.99,5.31,153.07,3.22,11.23,19.55
6,Bryan,Texas,29.4,41761.0,40345.0,82106,12014.0,2.55,TX,220.3,2.96,97.28,0.67,3.34,5.75
7,Garland,Texas,34.5,116406.0,120430.0,236836,62975.0,3.12,TX,600.82,44.55,10.01,1.13,6.16,8.36
8,Springfield,Illinois,38.8,55639.0,62170.0,117809,4264.0,2.22,IL,226.97,4.46,54.36,0.34,1.81,2.08
9,Flint,Michigan,35.3,48984.0,49313.0,98297,2138.0,2.38,MI,250.34,5.14,32.54,0.25,2.13,2.24
10,Tacoma,Washington,37.7,100914.0,107036.0,207950,31863.0,2.48,WA,253.68,3.6,61.51,0.79,2.99,3.91
11,Waterbury,Connecticut,36.2,52235.0,56572.0,108807,19967.0,2.71,CT,250.34,8.31,57.22,0.81,2.5,2.92
12,Eagan,Minnesota,36.8,31587.0,34701.0,66288,8642.0,2.49,MN,343.8,30.5,40.77,3.37,5.89,7.35
13,Fort Smith,Arkansas,34.9,43346.0,44849.0,88195,13177.0,2.44,AR,233.65,5.18,68.67,1.54,3.51,4.79
14,Carmichael,California,41.0,29281.0,33934.0,63215,7378.0,2.39,CA,323.77,3.09,26.82,1.19,1.33,3.14
15,Daly City,California,39.7,53817.0,52757.0,106574,56640.0,3.26,CA,230.31,1.39,87.98,1.01,5.32,12.63
17,Murrieta,California,35.3,49363.0,60453.0,109816,19875.0,3.3,CA,353.81,6.51,257.49,11.33,42.67,48.33
18,Brentwood,New York,34.2,31395.0,32397.0,63792,27058.0,4.98,NY,260.35,10.54,120.16,5.9,10.89,14.86
19,Quincy,Massachusetts,41.0,44129.0,49500.0,93629,32935.0,2.39,MA,323.77,26.39,40.41,3.43,4.47,7.63
20,Boulder,Colorado,29.0,56342.0,51000.0,107342,12993.0,2.24,CO,173.57,0.98,89.41,0.57,1.91,2.25
22,Evanston,Illinois,36.8,34146.0,41377.0,75523,15003.0,2.29,IL,340.46,38.04,32.9,0.95,4.01,5.87
23,Dothan,Alabama,38.9,32172.0,35364.0,67536,1699.0,2.59,AL,220.3,1.11,84.4,0.57,4.01,4.88
24,Antioch,California,34.0,54733.0,55809.0,110542,24942.0,3.31,CA,226.97,4.67,87.26,0.55,1.99,2.25
