,City,State,Median Age,Male Population,Female Population,Total Population,Foreign-born,Average Household Size,State Code,CO,NO2,O3,SO2,PM2.5,PM10
16,Bryan,Texas,29.4,41761.0,40345.0,82106,12014.0,2.55,TX,213.62,1.61,108.72,0.61,3.3,5.8
21,Waterbury,Connecticut,36.2,52235.0,56572.0,108807,19967.0,2.71,CT,243.66,8.14,60.08,0.87,2.43,2.81
39,Dothan,Alabama,38.9,32172.0,35364.0,67536,1699.0,2.59,AL,220.3,1.11,84.4,0.57,4.01,4.88
93,Decatur,Illinois,40.4,34646.0,38210.0,72856,1224.0,2.23,IL,220.3,2.06,92.98,2.33,2.15,2.39
99,Chino,California,36.5,50989.0,34610.0,85599,18666.0,3.62,CA,467.3,16.28,323.3,18.84,70.91,77.83
100,Anaheim,California,33.6,179603.0,171135.0,350738,137133.0,3.45,CA,600.82,52.09,300.41,32.42,69.68,79.93
102,Flint,Michigan,35.3,48984.0,49313.0,98297,2138.0,2.38,MI,267.03,5.57,39.7,0.41,3.22,3.32
109,Waterbury,Connecticut,36.2,52235.0,56572.0,108807,19967.0,2.71,CT,243.66,8.14,60.08,0.87,2.43,2.81
119,Decatur,Illinois,40.4,34646.0,38210.0,72856,1224.0,2.23,IL,220.3,2.06,92.98,2.33,2.15,2.39
129,Waterloo,Iowa,37.2,34488.0,33969.0,68457,5082.0,2.42,IA,226.97,2.51,75.82,0.4,3.85,4.08
140,Oakland,California,35.7,203827.0,215451.0,419278,113896.0,2.56,CA,247.0,5.01,88.69,2.09,5.07,10.53
150,Evanston,Illinois,36.8,34146.0,41377.0,75523,15003.0,2.29,IL,267.03,15.42,62.23,1.03,2.69,3.75
166,Lansing,Michigan,31.4,54333.0,59777.0,114110,8371.0,2.39,MI,205.28,3.0,30.4,0.27,0.73,0.79
170,Kalamazoo,Michigan,26.4,37175.0,38865.0,76040,3482.0,2.36,MI,211.95,2.96,51.5,1.97,0.61,0.77
171,O'Fallon,Missouri,36.0,41762.0,43270.0,85032,3269.0,2.77,MO,260.35,7.63,57.22,0.24,2.12,2.63
178,New Haven,Connecticut,29.9,63765.0,66545.0,130310,25871.0,2.48,CT,247.0,7.54,61.51,0.85,2.41,3.11
179,Chesapeake,Virginia,36.7,114964.0,120465.0,235429,13966.0,2.73,VA,257.02,8.05,45.42,0.62,6.79,8.44
189,Elizabeth,New Jersey,34.2,65896.0,63116.0,129012,63413.0,3.18,NJ,323.77,34.96,40.05,6.14,4.33,6.15
214,Westminster,Colorado,37.8,54866.0,58251.0,113117,11361.0,2.63,CO,260.35,30.5,0.53,8.23,5.25,5.92
215,North Little Rock,Arkansas,33.6,31671.0,34835.0,66506,2787.0,2.62,AR,283.72,10.11,76.53,1.42,4.64,5.96
217,Atlanta,Georgia,33.8,223960.0,239915.0,463875,32016.0,2.15,GA,250.34,7.63,77.96,4.83,5.13,5.78
219,Sunnyvale,California,35.7,79480.0,72280.0,151760,71441.0,2.74,CA,226.97,2.79,101.57,1.27,7.67,12.28
224,Fargo,North Dakota,30.7,60560.0,58690.0,119250,9428.0,2.18,ND,223.64,1.78,70.1,0.51,2.38,3.19
227,Richmond,Virginia,33.6,104793.0,115496.0,220289,15741.0,2.29,VA,273.71,7.11,58.65,0.57,5.22,5.43
231,Poinciana,Florida,34.2,38142.0,35801.0,73943,14349.0,3.93,FL,213.62,3.13,94.41,0.61,3.04,4.48
232,Fremont,California,38.3,114383.0,117808.0,232191,109427.0,3.12,CA,263.69,10.37,108.72,3.46,10.16,15.43
234,Frisco,Texas,37.2,73989.0,80399.0,154388,30913.0,3.05,TX,236.99,5.66,78.68,0.63,3.43,4.89
236,Arden-Arcade,California,41.5,47596.0,48680.0,96276,13458.0,2.18,CA,273.71,5.74,161.65,2.41,21.49,24.93
240,Newport Beach,California,46.8,43161.0,43970.0,87131,15318.0,2.4,CA,313.76,23.99,138.76,13.47,14.79,19.29
245,Fresno,California,30.0,256130.0,263942.0,520072,103453.0,3.12,CA,283.72,6.86,151.63,2.65,20.29,25.1
250,Conroe,Texas,31.5,34907.0,33685.0,68592,13839.0,2.65,TX,250.34,5.83,57.22,0.55,4.82,6.76
252,Newton,Massachusetts,42.3,41985.0,46824.0,88809,21692.0,2.71,MA,293.73,18.85,41.49,2.41,3.92,7.74
253,Frederick,Maryland,36.1,33146.0,36336.0,69482,14211.0,2.48,MD,297.07,11.48,25.39,0.6,6.32,6.94
259,Rockford,Illinois,36.3,71076.0,78270.0,149346,18323.0,2.52,IL,236.99,6.68,31.47,0.02,1.19,1.74
264,Savannah,Georgia,30.3,69389.0,76295.0,145684,10355.0,2.5700000000000003,GA,220.3,1.93,67.95,0.37,3.35,3.59
270,Cincinnati,Ohio,32.7,143654.0,154883.0,298537,16896.0,2.08,OH,257.02,10.97,49.35,3.87,2.66,2.95
274,Billings,Montana,36.3,52705.0,57565.0,110270,3206.0,2.4,MT,193.6,2.23,74.39,0.32,1.93,4.25
277,Lawton,Oklahoma,31.1,51099.0,45560.0,96659,6123.0,2.719999999999999,OK,226.97,2.49,85.12,0.28,4.16,5.01
279,Longmont,Colorado,36.8,43941.0,48280.0,92221,10424.0,2.63,CO,240.33,5.44,104.43,1.71,5.96,6.67
282,Carson,California,40.4,43790.0,49506.0,93296,33860.0,3.7,CA,367.17,19.54,168.8,5.07,24.12,29.99
284,Portsmouth,Virginia,33.6,45900.0,50301.0,96201,1815.0,2.54,VA,230.31,14.22,20.92,5.54,2.42,2.89
285,Pasadena,Texas,31.5,78827.0,74959.0,153786,38072.0,2.95,TX,347.14,22.28,170.23,8.94,24.68,29.08
287,Lehigh Acres,Florida,34.3,57856.0,61624.0,119480,31880.0,3.55,FL,220.3,1.32,100.14,0.36,4.51,6.72
288,Town 'n' Country,Florida,38.1,39410.0,39586.0,78996,22135.0,2.61,FL,208.62,1.35,87.98,0.37,2.37,5.24
289,Chino,California,36.5,50989.0,34610.0,85599,18666.0,3.62,CA,467.3,16.28,323.3,18.84,70.91,77.83
291,Suffolk,Virginia,38.2,43048.0,45113.0,88161,2829.0,2.719999999999999,VA,230.31,2.57,72.96,0.89,6.89,7.94
292,Santa Barbara,California,37.8,45068.0,46784.0,91852,19441.0,2.51,CA,206.95,0.36,87.98,0.08,3.75,4.08
293,Iowa City,Iowa,25.5,37089.0,37138.0,74227,9202.0,2.36,IA,270.37,9.68,38.27,0.07,2.79,3.41
294,Saint Petersburg,Florida,41.8,123524.0,133564.0,257088,28567.0,2.42,FL,323.77,18.85,43.99,20.27,1.16,1.94
298,Spokane Valley,Washington,36.0,49933.0,44975.0,94908,4199.0,2.39,WA,240.33,4.58,77.96,1.13,5.24,8.78
